LSOA name,LSOA code,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
Newham 001D,E01003550,1780,144,126,138,78,104,294,467,286,81,42,20
Newham 002A,E01003576,1799,162,161,166,107,122,283,396,273,66,39,24
Newham 002B,E01003581,1802,129,133,200,110,138,282,402,272,82,36,18
Newham 002C,E01003582,1597,119,129,192,92,143,223,339,243,60,44,13
Newham 002D,E01003583,2097,180,183,225,150,152,261,504,263,107,42,30
Newham 003A,E01003578,1995,155,170,256,121,121,308,546,222,61,23,12
Newham 003B,E01003584,1914,137,109,138,83,112,316,473,299,160,68,19
Newham 003C,E01003586,1828,131,131,152,117,135,297,455,279,79,36,16
Newham 003D,E01003590,1608,125,124,135,90,79,278,364,244,98,48,23
Newham 004A,E01003579,1986,142,199,208,123,133,317,433,267,103,43,18
Newham 004B,E01003585,1630,101,109,144,102,127,314,371,222,90,42,8
Newham 004C,E01003587,2486,202,210,260,119,144,382,658,320,115,54,22
Newham 004D,E01003591,2254,164,193,212,131,156,385,555,306,82,37,33
Newham 005A,E01003528,1360,99,128,160,84,88,185,307,184,72,37,16
Newham 005B,E01003575,1660,121,140,162,85,141,254,405,218,86,40,8
Newham 005C,E01003577,2384,205,211,244,173,184,375,531,328,64,45,24
Newham 005D,E01003580,2001,129,173,224,159,159,252,470,302,79,33,21
Newham 006A,E01003545,1751,99,96,136,75,117,349,459,298,78,37,7
Newham 006B,E01003548,2246,120,111,140,84,182,499,570,327,119,63,31
Newham 006C,E01003549,2120,135,137,133,99,185,429,563,297,83,45,14
Newham 006D,E01003557,1957,151,121,125,91,138,391,506,303,83,39,9
Newham 007A,E01003547,1956,128,103,118,77,105,345,453,408,149,49,21
Newham 007B,E01003555,1886,146,123,134,128,133,303,426,285,126,62,20
Newham 007C,E01003561,1714,122,124,167,89,120,308,381,248,96,45,14
Newham 007D,E01003567,1935,162,160,158,98,161,399,448,235,67,39,8
Newham 008A,E01003556,1966,145,164,193,127,152,291,500,267,85,29,13
Newham 008B,E01003558,1716,132,139,148,80,129,315,421,225,82,32,13
Newham 008C,E01003570,1909,142,137,175,98,152,328,459,275,84,45,14
Newham 008D,E01003571,2278,170,156,198,140,196,402,515,304,101,65,31
Newham 008E,E01003572,1674,122,120,125,95,111,344,383,233,96,29,16
Newham 009A,E01003551,1830,104,96,126,60,148,386,475,255,95,46,39
Newham 009B,E01003553,2022,123,141,153,111,175,420,440,330,81,31,17
Newham 009C,E01003554,1899,95,75,91,56,174,473,465,285,112,56,17
Newham 009D,E01003559,2389,131,111,142,93,200,599,638,339,89,32,15
Newham 010A,E01003529,2418,194,113,162,103,159,442,581,404,174,64,22
Newham 010B,E01003530,1892,127,119,145,89,154,341,442,302,105,47,21
Newham 010C,E01003531,2251,202,184,174,101,161,426,494,287,129,60,33
Newham 010D,E01003532,2311,169,142,131,86,211,511,493,360,101,77,30
Newham 010E,E01003534,2324,164,191,208,127,192,377,519,350,105,62,29
Newham 011A,E01003533,2314,153,170,226,126,270,338,505,319,115,68,24
Newham 011B,E01003560,1673,108,108,139,100,163,299,359,256,76,54,11
Newham 011C,E01003563,2622,334,239,271,103,165,526,506,325,95,48,10
Newham 011D,E01003588,1561,89,114,143,97,97,254,354,282,72,44,15
Newham 011E,E01003589,1857,128,147,154,105,145,299,475,266,90,36,12
Newham 012A,E01003616,1847,96,91,121,80,179,387,417,337,86,36,17
Newham 012C,E01003618,2270,120,101,110,75,271,576,487,367,93,55,15
Newham 012D,E01003619,2482,208,163,116,84,256,669,530,293,89,64,10
Newham 012E,E01034199,1817,143,112,112,80,160,411,407,238,85,43,26
Newham 012F,E01034200,1569,70,65,60,44,220,586,359,110,35,14,6
Newham 014A,E01003562,2102,155,129,136,81,166,412,487,316,150,45,25
Newham 014B,E01003564,2367,140,193,220,127,186,399,609,337,106,35,15
Newham 014C,E01003565,2090,156,142,216,133,195,358,480,280,74,47,9
Newham 014D,E01003566,1963,149,183,211,112,129,308,495,243,86,29,18
Newham 015A,E01003625,1682,119,123,163,75,120,314,426,229,74,31,8
Newham 015B,E01003626,1684,91,110,122,95,135,318,437,261,68,36,11
Newham 015C,E01003627,1525,96,99,124,67,126,274,355,241,91,43,9
Newham 015D,E01003628,1692,102,119,151,96,122,262,435,263,97,34,11
Newham 015E,E01003629,1946,145,157,147,102,99,367,464,315,94,44,12
Newham 016A,E01003552,1597,104,112,113,85,111,302,391,223,89,52,15
Newham 016B,E01003596,1716,137,140,148,85,124,284,404,241,96,41,16
Newham 016C,E01003597,2191,263,158,124,93,104,406,523,273,174,56,17
Newham 016D,E01003635,1825,96,83,91,59,111,427,476,289,131,42,20
Newham 017A,E01003568,2587,157,144,168,120,305,592,510,329,167,67,28
Newham 017B,E01003569,2465,277,133,159,71,125,468,786,276,99,51,20
Newham 017C,E01003573,2336,260,156,174,108,185,464,513,289,112,54,21
Newham 017D,E01003574,2549,190,196,194,101,157,416,647,358,158,101,31
Newham 018A,E01003520,1978,126,143,168,102,142,363,455,296,110,46,27
Newham 018B,E01003521,2171,139,152,181,111,158,413,569,294,89,56,9
Newham 018C,E01003522,1853,125,144,169,98,139,285,458,270,109,38,18
Newham 018D,E01003525,2074,140,191,185,150,130,302,519,267,117,48,25
Newham 018E,E01003526,1881,153,133,170,98,167,282,444,251,108,61,14
Newham 019A,E01003488,1985,172,129,147,122,158,293,429,359,88,75,13
Newham 019B,E01003489,2992,222,224,236,244,279,623,705,296,86,57,20
Newham 019C,E01003490,1994,144,156,206,137,147,351,448,288,76,35,6
Newham 019D,E01003524,1928,136,144,165,125,138,302,462,291,99,56,10
Newham 020A,E01003631,1866,82,78,139,95,147,451,432,300,99,36,7
Newham 020B,E01003632,2425,123,130,139,97,248,527,584,347,158,54,18
Newham 020C,E01003633,1860,121,119,166,106,149,356,388,330,69,49,7
Newham 020D,E01003634,1751,97,101,139,84,147,325,392,294,106,46,20
Newham 020E,E01003636,2196,182,121,164,141,190,461,454,342,82,44,15
Newham 021A,E01003598,1894,128,136,161,124,155,319,448,286,87,34,16
Newham 021B,E01003600,1627,69,101,145,93,105,295,384,303,80,32,20
Newham 021C,E01003630,1890,110,108,144,83,138,381,416,333,104,61,12
Newham 021D,E01003637,1890,119,94,95,78,149,428,431,351,75,56,14
Newham 022A,E01003491,1983,157,144,123,84,126,365,451,280,136,87,30
Newham 022B,E01003592,1888,110,117,155,98,155,371,439,282,96,48,17
Newham 022C,E01003599,1650,105,121,155,98,186,253,363,226,69,57,17
Newham 022E,E01034201,1447,99,139,152,78,76,291,347,172,66,21,6
Newham 022F,E01034202,1643,107,105,155,85,107,315,393,267,63,27,19
Newham 023A,E01003535,1853,131,167,180,101,150,260,393,312,88,49,22
Newham 023B,E01003536,2121,175,209,221,144,130,280,550,282,75,41,14
Newham 023C,E01003621,1651,105,126,180,85,126,248,409,253,69,39,11
Newham 023D,E01003622,1817,138,156,205,94,127,287,455,260,64,27,4
Newham 023E,E01003623,1756,92,121,196,138,145,253,399,300,71,29,12
Newham 024A,E01003523,2462,177,195,183,123,170,381,608,387,167,49,22
Newham 024B,E01003527,1828,120,136,189,99,127,260,428,311,95,52,11
Newham 024C,E01003537,2160,148,174,235,116,157,276,546,349,98,45,16
Newham 024D,E01003542,2229,122,186,258,170,228,278,479,363,106,29,10
Newham 024E,E01003624,1694,106,137,178,109,111,239,384,293,95,36,6
Newham 025A,E01003492,2033,126,145,207,122,169,325,488,297,95,46,13
Newham 025C,E01003494,2113,152,165,228,121,129,309,558,311,82,40,18
Newham 025D,E01003495,2076,141,170,228,131,125,282,513,328,94,51,13
Newham 025E,E01034203,1359,135,99,56,33,62,376,308,236,38,11,5
Newham 025F,E01034204,1994,171,152,173,113,154,336,490,263,81,45,16
Newham 026A,E01003594,1827,105,113,152,103,152,371,393,313,88,25,12
Newham 026B,E01003595,1813,127,96,132,106,143,325,412,284,116,54,18
Newham 026C,E01003602,2191,137,133,187,135,172,402,559,326,83,43,14
Newham 026D,E01003607,1898,157,143,144,96,141,417,410,266,87,31,6
Newham 027A,E01003496,1342,78,81,80,55,99,289,306,259,59,31,5
Newham 027B,E01003498,1866,141,114,121,88,190,336,449,323,67,28,9
Newham 027C,E01003500,2047,102,137,154,107,178,435,439,322,107,50,16
Newham 027D,E01003593,1508,83,96,102,74,108,268,419,216,97,30,15
Newham 028A,E01003601,2201,120,148,221,138,171,325,493,401,126,52,6
Newham 028B,E01003603,1942,140,169,197,88,106,316,488,311,74,44,9
Newham 028C,E01003605,2073,124,156,202,107,153,312,483,343,123,48,22
Newham 028D,E01003608,2031,133,154,188,88,112,375,536,296,98,38,13
Newham 029A,E01003538,2137,148,148,190,132,160,301,516,347,80,68,47
Newham 029B,E01003539,2518,173,203,289,149,191,339,661,344,101,48,20
Newham 029C,E01003540,2032,165,159,226,112,132,336,453,324,75,34,16
Newham 029D,E01003541,2025,137,172,241,120,153,278,501,303,74,34,12
Newham 030A,E01003499,2372,143,150,237,168,175,364,506,415,118,69,27
Newham 030B,E01003501,2354,127,162,196,132,195,365,564,432,105,43,33
Newham 030C,E01003502,2672,168,201,207,193,306,556,463,410,104,50,14
Newham 030D,E01003503,2885,130,135,197,111,247,945,666,316,83,44,11
Newham 031A,E01003507,2260,138,144,183,102,194,360,545,385,134,62,13
Newham 031B,E01003508,2554,208,177,181,92,171,652,640,293,72,56,12
Newham 031C,E01003509,2062,178,168,165,115,128,398,459,302,87,41,21
Newham 031D,E01003604,2290,154,164,236,125,150,354,573,383,104,39,8
Newham 032A,E01003483,1653,82,79,121,78,117,347,330,339,115,37,8
Newham 032B,E01003484,1797,122,132,160,80,114,350,477,264,75,17,6
Newham 032C,E01003516,1889,108,112,199,143,148,262,404,364,99,40,10
Newham 032D,E01003518,1638,128,116,138,70,96,295,417,255,82,33,8
Newham 032E,E01003519,1622,84,98,113,69,147,314,385,280,91,30,11
Newham 033A,E01003480,2011,100,81,110,180,354,316,442,254,118,43,13
Newham 033C,E01003486,1206,64,74,72,74,81,207,222,255,100,42,15
Newham 033D,E01003487,1352,79,85,118,85,117,245,265,244,82,21,11
Newham 033E,E01034205,1556,124,116,133,61,104,280,456,218,44,14,6
Newham 033F,E01034206,1766,131,113,136,74,193,511,368,160,30,23,27
Newham 033G,E01034207,1535,140,62,56,21,115,574,455,92,11,6,3
Newham 034A,E01003497,1648,80,98,121,100,132,278,367,283,113,59,17
Newham 034D,E01003506,1425,74,105,127,63,101,257,322,261,67,40,8
Newham 034I,E01033584,1701,85,124,166,105,139,312,342,300,76,43,9
Newham 034J,E01034208,1945,137,139,202,110,171,300,404,327,93,43,19
Newham 034K,E01034209,1480,60,74,43,33,125,720,335,74,11,3,2
Newham 034L,E01034210,1537,84,59,50,44,113,543,401,151,60,27,5
Newham 034M,E01034211,1437,55,25,6,8,143,815,329,49,6,1,0
Newham 034N,E01034212,1922,121,64,19,10,118,838,543,164,12,33,0
Newham 035A,E01003479,1546,103,107,134,61,75,266,420,247,80,47,6
Newham 035B,E01003481,1474,79,91,103,118,164,229,358,197,82,38,15
Newham 035C,E01003485,1686,85,125,135,57,114,315,440,271,105,27,12
Newham 035D,E01003513,1561,98,118,134,71,91,253,454,246,63,22,11
Newham 036A,E01003511,1922,117,113,154,97,177,427,432,275,91,31,8
Newham 036B,E01003512,1980,108,101,169,117,161,343,480,315,114,58,14
Newham 036C,E01003514,1656,106,110,146,116,144,266,376,277,76,27,12
Newham 036D,E01003515,2108,137,141,150,87,170,408,466,368,106,55,20
Newham 036E,E01003517,1882,117,156,190,112,136,290,377,352,87,34,31
Newham 038A,E01034213,1788,170,147,134,52,91,573,466,123,25,4,3
Newham 038B,E01034214,1567,66,66,66,49,208,725,293,72,17,4,1
Newham 038C,E01034215,1538,72,75,90,50,219,618,308,91,13,2,0
Newham 038D,E01034216,1697,56,99,110,72,229,688,346,88,8,1,0
Newham 038E,E01034217,2047,77,56,61,163,421,853,317,79,16,3,1
Newham 039A,E01003615,1706,124,97,99,73,140,338,399,283,81,63,9
Newham 039B,E01034218,1818,136,103,114,91,149,461,435,206,78,36,9
Newham 039C,E01034219,1887,110,83,75,237,273,732,299,60,11,5,2
Newham 039D,E01034220,1235,30,12,11,41,236,641,204,41,12,6,1
Newham 039E,E01034221,1782,70,75,98,47,245,611,383,174,50,25,4
Newham 040C,E01033579,1889,75,59,54,50,223,836,395,164,25,5,3
Newham 040D,E01033586,2100,94,98,124,112,192,518,573,287,69,26,7
Newham 040A,E01034222,1526,94,54,62,42,174,618,343,109,17,11,2
Newham 040B,E01034223,1376,83,41,44,27,98,606,344,97,24,10,2
Newham 041C,E01003611,1962,136,170,215,116,125,312,433,327,72,48,8
Newham 041A,E01033581,1923,154,135,167,92,128,368,469,273,79,43,15
Newham 041B,E01033582,1449,126,66,59,30,98,444,418,169,28,7,4
Newham 041D,E01034224,1754,118,120,143,99,147,386,405,243,60,24,9
Newham 042A,E01033580,1412,98,75,53,35,86,441,445,129,36,6,8
Newham 042B,E01034225,1500,122,78,94,59,123,352,370,249,32,18,3
Newham 042C,E01034226,1413,111,72,79,37,105,485,393,111,17,3,0
Newham 042D,E01034227,1575,199,144,146,71,77,444,387,91,12,3,1
Newham 042E,E01034228,1351,112,46,24,14,116,597,338,79,20,5,0
Newham 042F,E01034229,1409,82,53,70,40,134,509,317,168,25,9,2
Newham 042G,E01034230,1238,61,7,5,14,147,745,212,38,6,2,1
Newham 042H,E01034231,1344,115,32,16,16,103,621,349,72,15,4,1
Redbridge 001A,E01003744,1453,72,85,100,44,59,133,274,313,176,144,53
Redbridge 001B,E01003745,1413,55,81,115,85,92,101,238,360,182,84,20
Redbridge 001C,E01003746,1618,74,97,113,56,65,139,325,321,204,156,68
Redbridge 001D,E01003747,1359,68,91,113,63,65,98,262,324,142,93,40
Redbridge 001E,E01003748,1637,80,96,107,67,72,153,350,328,206,118,60
Redbridge 001F,E01003749,1765,99,91,151,59,82,277,426,288,157,99,36
Redbridge 001G,E01003750,1915,109,106,116,59,80,241,457,362,170,125,90
Redbridge 002A,E01003720,1922,101,111,150,75,103,259,456,340,169,108,50
Redbridge 002B,E01003722,2419,197,199,222,111,134,358,601,359,137,71,30
Redbridge 002C,E01003723,1915,125,124,153,112,93,274,447,340,137,75,35
Redbridge 002D,E01003726,2528,225,192,200,93,126,537,663,352,82,45,13
Redbridge 003A,E01003721,1897,147,114,144,97,113,281,420,294,117,102,68
Redbridge 003B,E01003724,1482,91,92,126,74,96,172,381,250,124,53,23
Redbridge 003C,E01003725,1761,199,118,110,66,86,334,390,278,100,60,20
Redbridge 003D,E01003727,1784,107,125,167,80,113,254,403,336,113,64,22
Redbridge 004A,E01003654,1699,111,106,134,87,91,220,432,314,109,69,26
Redbridge 004B,E01003655,1569,105,80,76,42,75,245,403,301,144,71,27
Redbridge 004C,E01003658,1715,84,97,143,102,89,255,406,308,134,64,33
Redbridge 004D,E01003660,1775,127,128,117,63,70,206,439,367,166,63,29
Redbridge 005A,E01003656,1558,84,89,124,67,75,242,366,290,105,79,37
Redbridge 005B,E01003657,2169,105,129,154,92,105,312,456,443,204,134,35
Redbridge 005C,E01003659,1757,137,112,139,79,87,229,428,342,114,68,22
Redbridge 006A,E01003698,1526,99,130,116,59,85,196,351,289,113,67,21
Redbridge 006B,E01003699,1555,111,98,118,46,62,273,344,280,116,79,28
Redbridge 006C,E01003700,2526,155,170,195,108,164,390,574,434,181,119,36
Redbridge 006D,E01003701,2053,134,140,163,109,131,323,449,357,126,74,47
Redbridge 006E,E01003702,2254,197,135,125,83,111,459,586,332,123,83,20
Redbridge 006F,E01003703,2648,133,154,244,143,162,322,559,536,237,121,37
Redbridge 006G,E01003704,2031,135,158,175,97,154,268,512,306,113,82,31
Redbridge 007A,E01003668,1719,92,74,89,41,58,345,458,278,158,73,53
Redbridge 007B,E01003669,1549,94,99,113,69,51,200,367,331,139,71,15
Redbridge 007C,E01003670,1532,78,97,140,63,82,151,360,301,143,77,40
Redbridge 007D,E01003671,1561,96,117,114,69,58,133,369,343,166,73,23
Redbridge 007E,E01003672,1696,135,111,104,45,87,349,423,236,66,81,59
Redbridge 007F,E01003673,1915,144,99,117,90,90,305,518,353,104,76,19
Redbridge 007G,E01003674,2422,195,152,118,56,125,544,655,319,154,63,41
Redbridge 008A,E01003707,1527,81,117,109,71,103,175,331,296,128,87,29
Redbridge 008B,E01003708,2062,126,143,223,138,124,266,483,389,88,59,23
Redbridge 008C,E01003709,1772,94,125,151,93,114,202,384,318,151,101,39
Redbridge 008D,E01003710,1520,75,82,104,76,96,185,275,317,170,82,58
Redbridge 009A,E01003759,1584,104,121,120,66,67,132,393,305,142,107,27
Redbridge 009B,E01003760,1894,113,124,143,99,109,268,485,345,121,59,28
Redbridge 009C,E01003761,1822,129,153,197,137,126,195,450,317,76,34,8
Redbridge 009D,E01003762,1731,117,122,120,72,85,236,427,359,117,59,17
Redbridge 009E,E01003763,2010,112,137,191,76,111,245,484,352,162,107,33
Redbridge 009F,E01003764,2105,158,153,126,66,80,445,546,302,137,67,25
Redbridge 009G,E01003765,1939,157,129,112,69,98,371,517,313,86,67,20
Redbridge 010A,E01003705,2421,143,169,207,112,143,369,593,405,173,75,32
Redbridge 010B,E01003706,1702,109,132,147,94,87,208,398,290,113,88,36
Redbridge 010C,E01003711,1912,103,132,146,105,116,252,403,325,160,101,69
Redbridge 010D,E01003712,1500,99,98,132,74,98,217,292,283,105,74,28
Redbridge 012A,E01003646,1916,101,109,153,95,128,306,432,315,155,81,41
Redbridge 012B,E01003648,1513,77,106,96,65,88,188,304,296,147,87,59
Redbridge 012C,E01003649,1674,76,105,139,89,122,202,353,334,137,86,31
Redbridge 012D,E01003651,1513,78,69,105,65,98,219,269,333,144,86,47
Redbridge 013A,E01003639,2257,157,164,195,109,105,367,569,309,144,103,35
Redbridge 013B,E01003640,1957,129,145,170,107,110,277,446,339,133,74,27
Redbridge 013C,E01003641,2034,143,107,136,82,163,358,386,387,192,57,23
Redbridge 013D,E01003642,1766,85,97,149,98,143,277,372,343,103,72,27
Redbridge 014A,E01003774,1934,154,117,122,40,80,281,542,340,148,69,41
Redbridge 014B,E01003775,1658,79,100,108,70,87,212,393,301,148,109,51
Redbridge 014C,E01003776,1730,78,72,95,39,75,249,430,289,181,135,87
Redbridge 014D,E01003777,1824,97,91,77,44,66,341,525,317,128,79,59
Redbridge 014E,E01003778,1946,137,92,84,36,70,408,526,303,154,91,45
Redbridge 014F,E01003779,1647,104,74,95,54,43,202,361,385,148,115,66
Redbridge 014G,E01003780,1565,67,110,103,65,78,159,305,352,170,119,37
Redbridge 015A,E01003647,1964,131,148,139,74,117,346,489,292,127,64,37
Redbridge 015B,E01003650,1779,108,108,161,75,139,223,368,344,124,79,50
Redbridge 015C,E01003652,1615,84,103,133,95,109,215,370,303,112,58,33
Redbridge 015D,E01003653,2160,206,189,168,79,117,473,513,243,92,52,28
Redbridge 017A,E01003638,1907,108,144,153,70,91,286,453,294,164,100,44
Redbridge 017B,E01003643,2275,139,183,184,98,145,296,561,330,175,103,61
Redbridge 017C,E01003644,1654,76,106,170,95,103,236,381,262,136,64,25
Redbridge 017D,E01003645,2787,225,232,232,113,140,455,769,375,127,68,51
Redbridge 018A,E01003789,1425,88,66,92,38,59,233,329,261,129,89,41
Redbridge 018B,E01003794,1548,96,120,133,55,67,154,369,292,157,61,44
Redbridge 018C,E01003795,1236,82,85,103,61,32,114,266,259,117,88,29
Redbridge 018D,E01003796,1580,83,94,128,57,89,209,348,302,157,81,32
Redbridge 020A,E01003751,2274,125,176,185,137,200,364,490,355,144,70,28
Redbridge 020B,E01003753,1988,133,133,181,108,135,284,480,334,115,63,22
Redbridge 020C,E01003754,1720,80,94,137,76,119,268,343,304,181,77,41
Redbridge 020D,E01003757,2141,137,145,190,130,154,312,504,330,160,60,19
Redbridge 022A,E01003769,1876,142,127,141,117,122,298,476,271,122,43,17
Redbridge 022B,E01003770,2888,161,229,289,202,165,463,738,411,114,71,45
Redbridge 022C,E01003771,1796,114,150,170,81,121,286,383,258,136,70,27
Redbridge 022D,E01003773,1827,113,162,182,102,96,234,466,284,119,58,11
Redbridge 023A,E01003752,2773,183,165,205,160,211,433,662,451,180,92,31
Redbridge 023B,E01003755,2413,170,177,254,171,200,266,519,449,113,63,31
Redbridge 023C,E01003756,2497,181,184,194,143,203,376,527,436,131,89,33
Redbridge 023E,E01034480,1347,117,114,142,105,80,210,343,168,28,22,18
Redbridge 023F,E01034481,1702,150,165,134,140,142,281,335,223,72,29,31
Redbridge 024A,E01003766,2175,192,166,161,103,144,382,497,306,136,68,20
Redbridge 024B,E01003767,2196,192,153,211,130,150,353,542,279,102,71,13
Redbridge 024C,E01003768,1922,165,141,132,81,125,344,464,263,119,60,28
Redbridge 024D,E01003772,1816,110,139,190,96,117,263,410,277,120,68,26
Redbridge 026A,E01003781,2018,122,121,160,117,137,332,479,370,87,66,27
Redbridge 026B,E01003782,1739,153,162,173,64,106,253,439,237,108,33,11
Redbridge 026C,E01003786,1636,111,133,155,96,97,219,362,277,114,53,19
Redbridge 026D,E01003787,1647,118,140,127,74,88,271,389,236,118,65,21
Redbridge 027A,E01003790,1496,97,109,101,78,75,146,311,331,153,67,28
Redbridge 027B,E01003791,1499,111,101,109,42,49,143,341,286,176,111,30
Redbridge 027C,E01003792,1422,96,94,94,64,66,165,317,307,142,61,16
Redbridge 027D,E01003793,1580,124,95,97,51,76,266,388,261,125,75,22
Redbridge 029A,E01003783,2529,244,192,195,111,158,443,622,338,108,84,34
Redbridge 029B,E01003784,2008,143,138,170,104,153,371,466,283,104,50,26
Redbridge 029C,E01003785,2044,206,156,117,77,133,423,505,257,104,37,29
Redbridge 029D,E01003788,1835,180,139,121,76,110,315,455,254,112,47,26
Redbridge 031A,E01003737,2976,229,190,425,271,131,333,670,399,181,107,40
Redbridge 031B,E01003738,2377,151,168,210,142,184,324,529,403,150,84,32
Redbridge 031C,E01003739,2398,160,187,240,159,159,353,551,365,115,64,45
Redbridge 031D,E01003740,2222,121,159,187,120,151,360,465,386,154,84,35
Redbridge 031E,E01003741,2046,212,131,151,108,154,281,404,300,161,97,47
Redbridge 031F,E01003742,2374,160,200,221,193,206,333,558,342,90,55,16
Redbridge 031G,E01003743,1903,137,140,176,112,148,277,401,297,102,78,35
Redbridge 032B,E01003729,1773,126,140,178,114,120,266,416,274,84,41,14
Redbridge 032C,E01003730,1839,111,142,195,104,165,280,376,321,97,35,13
Redbridge 032D,E01003732,1829,209,176,160,78,117,282,417,244,59,48,39
Redbridge 032E,E01003733,1839,150,152,163,115,140,305,436,237,98,31,12
Redbridge 032F,E01034482,1083,123,109,63,23,47,349,288,77,3,1,0
Redbridge 032G,E01034483,1418,145,144,159,72,76,352,333,110,21,6,0
Redbridge 032H,E01034484,1700,107,122,142,131,117,254,443,225,76,54,29
Redbridge 033A,E01003731,1415,85,111,124,98,112,211,353,209,76,23,13
Redbridge 033B,E01003734,1835,145,147,190,114,142,285,405,250,94,43,20
Redbridge 033C,E01003735,2108,159,172,204,133,179,321,436,321,96,64,23
Redbridge 033D,E01003736,2036,183,196,234,136,161,227,571,253,48,20,7
Redbridge 034A,E01003713,1885,104,131,174,129,123,300,381,331,132,62,18
Redbridge 034B,E01003714,2418,205,167,209,127,206,447,553,314,116,60,14
Redbridge 034C,E01003715,2217,152,159,199,110,161,332,593,299,142,50,20
Redbridge 034D,E01003716,1819,116,114,139,86,126,263,426,307,166,62,14
Redbridge 034E,E01003718,2004,198,166,158,74,123,358,517,269,81,42,18
Redbridge 034F,E01003719,2405,213,195,166,119,159,410,529,345,140,103,26
Redbridge 034G,E01032581,1931,155,137,151,106,119,343,470,296,114,30,10
Redbridge 035A,E01003690,2154,160,130,139,79,122,455,504,262,127,79,97
Redbridge 035B,E01003691,1608,89,99,150,101,124,262,335,276,110,54,8
Redbridge 035C,E01003692,1639,93,120,146,83,102,240,382,271,106,64,32
Redbridge 035D,E01003693,1702,107,122,133,100,97,280,371,279,117,80,16
Redbridge 035E,E01003694,1466,62,87,104,81,98,192,305,258,162,83,34
Redbridge 035F,E01003695,1518,103,107,108,56,67,275,371,223,129,62,17
Redbridge 035G,E01003696,1779,76,86,131,104,141,256,406,305,150,82,42
Redbridge 035H,E01003697,1727,93,99,130,126,103,259,390,308,139,55,25
Redbridge 036A,E01003675,1721,111,101,121,93,126,280,349,287,131,89,33
Redbridge 036B,E01003676,1940,109,130,160,112,169,290,376,348,151,74,21
Redbridge 036C,E01003677,1808,77,84,145,101,166,239,352,347,155,100,42
Redbridge 036D,E01003678,1640,58,85,154,117,117,171,356,306,157,88,31
Redbridge 036E,E01003679,1758,81,92,164,106,120,218,379,338,145,82,33
Redbridge 036F,E01003680,1667,66,101,154,100,125,210,336,333,149,72,21
Redbridge 036G,E01003681,2022,109,107,135,157,112,273,426,366,146,116,75
Redbridge 036H,E01003682,1856,68,106,178,121,126,234,424,337,167,68,27
Redbridge 037A,E01003663,1962,94,149,184,115,123,186,434,318,138,100,121
Redbridge 037B,E01003664,1913,127,156,199,121,151,231,429,318,111,51,19
Redbridge 037E,E01003665,1711,87,131,190,89,99,207,398,303,106,70,31
Redbridge 037C,E01033590,1248,157,123,121,60,66,199,334,132,33,16,7
Redbridge 037D,E01033592,1984,117,164,189,127,128,246,478,344,120,45,26
Redbridge 038A,E01003661,2221,150,180,188,135,139,283,521,349,143,83,50
Redbridge 038C,E01003662,2141,181,166,177,89,125,360,563,324,85,42,29
Redbridge 038B,E01003666,2904,291,272,287,137,192,441,728,416,89,33,18
Redbridge 039C,E01003689,2226,154,153,162,102,135,459,550,294,108,74,35
Redbridge 039B,E01033589,1952,230,244,157,76,84,373,603,161,18,6,0
Redbridge 039A,E01033591,2978,296,237,241,133,220,605,736,324,89,83,14
Redbridge 040C,E01003683,2187,207,182,199,121,169,349,448,331,115,49,17
Redbridge 040E,E01003684,1866,109,159,222,121,129,268,422,276,95,48,17
Redbridge 040D,E01003685,1925,141,133,170,99,143,355,426,283,116,42,17
Redbridge 040A,E01003686,2021,166,132,156,102,150,369,398,317,140,49,42
Redbridge 040B,E01003688,1840,172,163,133,82,123,334,392,244,113,68,16
Richmond upon Thames 001A,E01003797,1424,46,77,159,87,56,50,248,337,154,137,73
Richmond upon Thames 001B,E01003798,1406,84,67,93,54,35,127,307,322,167,115,35
Richmond upon Thames 001C,E01003799,1574,78,114,140,50,50,165,388,330,148,86,25
Richmond upon Thames 001D,E01003800,1502,61,95,128,89,91,137,310,336,145,76,34
Richmond upon Thames 001E,E01003801,1282,56,76,83,85,63,163,273,264,122,70,27
Richmond upon Thames 001F,E01003802,1394,78,67,98,49,61,135,308,327,160,77,34
Richmond upon Thames 001G,E01003803,1555,73,102,147,67,75,183,372,337,91,83,25
Richmond upon Thames 002A,E01003846,1709,87,136,146,75,77,130,352,395,168,114,29
Richmond upon Thames 002B,E01003847,1692,76,83,69,44,55,294,433,345,127,109,57
Richmond upon Thames 002C,E01003849,1530,90,81,106,44,62,139,376,318,151,110,53
Richmond upon Thames 002D,E01003851,1601,54,101,126,68,54,135,341,352,170,148,52
Richmond upon Thames 002E,E01003860,1714,106,78,102,43,54,338,444,316,140,69,24
Richmond upon Thames 002F,E01003864,1462,76,101,105,44,44,171,362,281,154,96,28
Richmond upon Thames 003A,E01003852,1360,59,71,74,37,43,197,359,262,133,90,35
Richmond upon Thames 003B,E01003853,1432,84,96,108,58,51,121,278,309,176,106,45
Richmond upon Thames 003C,E01003854,1417,98,78,105,53,46,177,343,301,114,84,18
