LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000425,Bexley 025D,50,540,20,10,c
E01000426,Bexley 026B,45,225,255,235,c
E01000427,Bexley 026C,60,310,160,425,c
E01000428,Bexley 027D,60,65,35,865,c
E01000429,Bexley 008B,20,80,275,375,c
E01000430,Bexley 008C,20,335,270,100,c
E01000431,Bexley 008D,10,85,260,90,c
E01000433,Bexley 008F,35,215,135,365,c
E01000434,Bexley 008G,25,130,325,130,c
E01000435,Bexley 010E,10,240,95,260,c
E01000436,Bexley 011E,10,590,10,20,c
E01000437,Bexley 007A,30,385,90,c,c
E01000438,Bexley 007B,35,165,385,45,c
E01000439,Bexley 007C,15,130,300,90,c
E01000440,Bexley 007D,40,400,85,c,c
E01000441,Bexley 007E,60,200,205,260,c
E01000442,Bexley 006E,25,510,50,60,c
E01000443,Bexley 024B,25,215,245,50,c
E01000444,Bexley 023B,415,165,30,45,c
E01000445,Bexley 024C,110,430,100,50,c
E01000446,Bexley 024D,c,145,440,20,c
E01000447,Bexley 023C,60,205,295,375,c
E01000448,Bexley 023D,205,245,65,10,c
E01000449,Bexley 023E,225,275,c,165,c
E01000450,Bexley 009E,20,480,35,120,c
E01000451,Bexley 009F,c,595,10,15,c
E01000452,Bexley 009G,10,470,10,10,c
E01000453,Bexley 013B,c,480,15,25,c
E01000454,Bexley 013C,15,290,215,130,c
E01000455,Bexley 013D,15,570,20,25,c
E01000456,Bexley 013E,c,475,c,c,c
E01000457,Bexley 026D,60,90,215,670,c
E01000458,Bexley 027E,175,200,75,265,c
E01000459,Bexley 027F,150,135,70,585,c
E01000460,Bexley 022E,175,230,35,60,c
E01000461,Bexley 024E,20,480,75,c,c
E01000462,Bexley 026E,45,195,150,515,c
E01000463,Bexley 025E,55,155,255,c,c
E01000464,Bexley 002D,30,45,270,230,c
E01000465,Bexley 002E,25,45,210,465,c
E01000466,Bexley 001A,20,65,230,310,c
E01000467,Bexley 001B,35,125,255,220,c
E01000468,Bexley 001C,60,255,455,220,c
E01000469,Bexley 001D,35,120,330,195,c
E01000470,Bexley 002F,20,25,100,455,c
E01000471,Brent 026A,30,185,260,30,c
E01000472,Brent 029A,15,45,90,800,c
E01000473,Brent 029B,65,120,110,515,c
E01000474,Brent 026B,30,240,130,125,c
E01000475,Brent 029C,35,115,220,265,c
E01000476,Brent 026C,55,175,250,125,c
E01000477,Brent 026D,50,120,110,445,c
E01000478,Brent 029D,45,175,205,370,c
E01000479,Brent 009A,225,245,c,55,c
E01000480,Brent 006A,300,160,10,60,c
E01000481,Brent 009B,95,20,45,465,c
E01000483,Brent 009D,20,60,95,500,c
E01000484,Brent 006B,50,160,170,250,c
E01000485,Brent 006C,55,195,40,245,c
E01000486,Brent 006D,55,435,c,40,c
E01000487,Brent 006E,95,205,c,430,c
E01000488,Brent 022A,120,75,15,360,c
